Accuracy,f1-score,Precision,Recall,C,Gamma,Kernel
0.5125725338,0.6777491034,0.5125725338,1,0.01,0.001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.01,0.0001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.01,auto,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.1,0.001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.1,0.0001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.1,auto,rbf
0.6818181818,0.6930281403,0.6839253738,0.703716922,1,0.001,rbf
0.6179883946,0.6820109741,0.5966664173,0.8018026543,1,0.0001,rbf
0.5609284333,0.6883207801,0.5416821337,0.9452550122,1,auto,rbf
0.6798839458,0.6907495776,0.6823039196,0.6999363699,10,0.001,rbf
0.6760154739,0.6909972916,0.6754935372,0.7075131209,10,0.0001,rbf
0.6876208897,0.6992389119,0.6901036043,0.7093877502,10,auto,rbf
0.6537717602,0.6581424016,0.6660179012,0.6509039349,0.01,,linear
0.6537717602,0.6574091057,0.6665862794,0.6490136589,0.1,,linear
0.6537717602,0.6574091057,0.6665862794,0.6490136589,1,,linear
0.6537717602,0.6574091057,0.6665862794,0.6490136589,10,,linear
