Accuracy,f1-score,Precision,Recall
0.7115384615,0.7321428571,0.6949152542,0.7735849057
0.7019230769,0.7394957983,0.6666666667,0.8301886792
0.6346153846,0.6481481481,0.6363636364,0.6603773585
0.6346153846,0.6274509804,0.6530612245,0.6037735849
0.6699029126,0.6730769231,0.6862745098,0.6603773585
0.6699029126,0.679245283,0.679245283,0.679245283
0.6504854369,0.625,0.6976744186,0.5660377358
0.7378640777,0.7428571429,0.75,0.7358490566
0.7475728155,0.7636363636,0.7368421053,0.7924528302
0.640776699,0.6666666667,0.6379310345,0.6981132075
