Accuracy,f1-score,Precision,Recall
0.6057692308,0.6821705426,0.5789473684,0.8301886792
0.5576923077,0.6567164179,0.5432098765,0.8301886792
0.5096153846,0.6277372263,0.5119047619,0.8113207547
0.5961538462,0.7,0.5632183908,0.9245283019
0.6601941748,0.7244094488,0.6216216216,0.8679245283
0.572815534,0.6666666667,0.5569620253,0.8301886792
0.5436893204,0.6356589147,0.5394736842,0.7735849057
0.6116504854,0.7101449275,0.5764705882,0.9245283019
0.6019417476,0.7132867133,0.5666666667,0.9622641509
0.5631067961,0.6616541353,0.55,0.8301886792
