Accuracy,f1-score,Precision,Recall,C,Gamma,Kernel
0.5125725338,0.6777491034,0.5125725338,1,0.01,0.001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.01,0.0001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.01,auto,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.1,0.001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.1,0.0001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.1,auto,rbf
0.5125725338,0.6777491034,0.5125725338,1,1,0.001,rbf
0.5125725338,0.6777491034,0.5125725338,1,1,0.0001,rbf
0.5125725338,0.6777491034,0.5125725338,1,1,auto,rbf
0.5938104449,0.6836656816,0.5690015006,0.8565841512,10,0.001,rbf
0.5125725338,0.6777491034,0.5125725338,1,10,0.0001,rbf
0.5125725338,0.6777491034,0.5125725338,1,10,auto,rbf
0.5251450677,0.6834495049,0.5191308099,1,0.01,,linear
0.6499032882,0.6715017073,0.6469811444,0.6980878185,0.1,,linear
0.6499032882,0.6709108608,0.6474881406,0.696202758,1,,linear
0.6499032882,0.6709108608,0.6474881406,0.696202758,10,,linear
