Accuracy,f1-score,Precision,Recall
0.6538461538,0.6538461538,0.6666666667,0.641509434
0.5865384615,0.6055045872,0.5892857143,0.6226415094
0.6346153846,0.6274509804,0.6530612245,0.6037735849
0.6153846154,0.6153846154,0.6274509804,0.6037735849
0.6019417476,0.6306306306,0.6034482759,0.6603773585
0.6310679612,0.6833333333,0.6119402985,0.7735849057
0.6504854369,0.6470588235,0.6734693878,0.6226415094
0.7669902913,0.7894736842,0.737704918,0.8490566038
0.7475728155,0.7719298246,0.7213114754,0.8301886792
0.6504854369,0.6727272727,0.649122807,0.6981132075
