Accuracy,f1-score,Precision,Recall,C,Gamma,Kernel
0.5125725338,0.6777491034,0.5125725338,1,0.01,0.001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.01,0.0001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.01,auto,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.1,0.001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.1,0.0001,rbf
0.5125725338,0.6777491034,0.5125725338,1,0.1,auto,rbf
0.5560928433,0.6892497558,0.5375968936,0.9603720051,1,0.001,rbf
0.5125725338,0.6777491034,0.5125725338,1,1,0.0001,rbf
0.5125725338,0.6777491034,0.5125725338,1,1,auto,rbf
0.6866537718,0.7021386929,0.6833834898,0.7226092515,10,0.001,rbf
0.5938104449,0.6988195669,0.5641067382,0.9188485186,10,0.0001,rbf
0.5164410058,0.6794902036,0.5145676228,1,10,auto,rbf
0.6885880077,0.7005739668,0.68925743,0.7131787335,0.01,,linear
0.6827852998,0.6980550611,0.6804923209,0.7169540701,0.1,,linear
0.6827852998,0.6980550611,0.6804923209,0.7169540701,1,,linear
0.6827852998,0.6980550611,0.6804923209,0.7169540701,10,,linear
