Accuracy,f1-score,Precision,Recall
0.7115384615,0.7169811321,0.7169811321,0.7169811321
0.6826923077,0.7079646018,0.6666666667,0.7547169811
0.6826923077,0.6732673267,0.7083333333,0.641509434
0.7115384615,0.7115384615,0.7254901961,0.6981132075
0.6699029126,0.6964285714,0.6610169492,0.7358490566
0.6990291262,0.7102803738,0.7037037037,0.7169811321
0.6213592233,0.6060606061,0.652173913,0.5660377358
0.8058252427,0.8214285714,0.7796610169,0.8679245283
0.7378640777,0.7652173913,0.7096774194,0.8301886792
0.6796116505,0.7027027027,0.6724137931,0.7358490566
